customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_value,customer_title
1,7.0,11,3018.09,4,4,3,443,platinum customer
2,128.0,3,2226.26,1,1,2,112,lost customer
3,102.0,7,3290.2099999999996,1,3,3,133,high risk customer
4,195.0,2,220.57,1,1,1,111,lost customer
5,16.0,6,2394.94,4,3,2,432,very loyal
6,64.0,5,3946.55,2,2,3,223,losing customer
7,253.0,3,220.10999999999999,1,1,1,111,lost customer
8,22.0,9,5364.389999999999,3,4,4,344,recent customer
9,78.0,6,2353.1099999999997,2,3,2,232,losing customer
10,43.0,5,3358.2800000000007,3,2,3,323,potential customer
11,46.0,5,3091.5600000000004,2,2,3,223,losing customer
12,67.0,7,3540.0299999999997,2,3,3,233,losing customer
13,27.0,7,4337.38,3,3,4,334,recent customer
14,47.0,3,1713.9,2,1,1,211,high risk customer
15,35.0,6,1728.39,3,3,1,331,recent customer
16,99.0,5,4521.839999999999,1,2,4,124,almost lost customer
17,0.0,5,2015.6100000000001,4,2,2,422,very loyal
18,134.0,7,3543.38,1,3,3,133,high risk customer
19,280.0,2,1736.45,1,1,1,111,lost customer
20,31.0,4,3608.2799999999997,3,1,3,313,potential customer
21,6.0,5,4229.41,4,2,4,424,very loyal
22,97.0,7,4286.95,1,3,4,134,high risk customer
23,10.0,6,4376.15,4,3,4,434,platinum customer
24,17.0,7,3689.35,4,3,3,433,very loyal
25,5.0,12,5333.66,4,4,4,444,platinum customer
26,259.0,2,268.2399999999999,1,1,1,111,lost customer
27,143.0,7,3274.250000000001,1,3,3,133,high risk customer
28,83.0,6,3366.5600000000004,2,3,3,233,losing customer
29,22.0,9,6175.3,3,4,4,344,recent customer
30,11.0,3,2633.95,4,1,2,412,becoming loyal
31,89.0,4,426.10999999999996,1,1,1,111,lost customer
32,138.0,7,2823.12,1,3,3,133,high risk customer
33,38.0,6,5150.450000000001,3,3,4,334,recent customer
34,102.0,8,4825.59,1,4,4,144,high risk customer
35,92.0,4,3706.5099999999998,1,1,3,113,almost lost customer
36,163.0,2,204.35999999999999,1,1,1,111,lost customer
37,7.0,9,6338.49,4,4,4,444,platinum customer
38,50.0,4,2025.34,2,1,2,212,high risk customer
39,34.0,12,6085.169999999998,3,4,4,344,recent customer
40,14.0,5,3272.7000000000003,4,2,3,423,very loyal
41,29.0,8,4531.68,3,4,4,344,recent customer
42,111.0,4,427.04,1,1,1,111,lost customer
43,61.0,9,3619.95,2,4,3,243,late bloomer
44,35.0,7,4768.28,3,3,4,334,recent customer
45,43.0,3,1048.1499999999999,3,1,1,311,late bloomer
46,53.0,5,1623.6299999999997,2,2,1,221,losing customer
47,35.0,7,4332.1900000000005,3,3,4,334,recent customer
48,82.0,8,5561.08,2,4,4,244,late bloomer
49,36.0,4,2636.4300000000003,3,1,2,312,potential customer
50,26.0,7,4153.41,3,3,4,334,recent customer
51,55.0,8,4855.400000000001,2,4,4,244,late bloomer
52,4.0,6,5417.83,4,3,4,434,platinum customer
53,7.0,5,2950.07,4,2,3,423,very loyal
54,67.0,7,4098.21,2,3,4,234,late bloomer
55,46.0,8,3220.8599999999997,2,4,3,243,late bloomer
56,2.0,7,1275.2399999999998,4,3,1,431,very loyal
57,35.0,6,5117.96,3,3,4,334,recent customer
58,20.0,8,3501.37,3,4,3,343,recent customer
59,22.0,3,2628.37,3,1,2,312,potential customer
60,200.0,2,647.22,1,1,1,111,lost customer
61,47.0,6,4254.240000000001,2,3,4,234,late bloomer
62,5.0,6,4920.879999999999,4,3,4,434,platinum customer
63,68.0,3,2190.05,2,1,2,212,high risk customer
64,3.0,5,546.6799999999997,4,2,1,421,very loyal
65,136.0,5,3799.9699999999993,1,2,3,123,almost lost customer
66,43.0,4,3333.86,3,1,3,313,potential customer
67,116.0,5,1203.2899999999997,1,2,1,121,almost lost customer
68,84.0,3,3842.5599999999995,2,1,3,213,losing customer
69,20.0,6,5294.75,3,3,4,334,recent customer
70,4.0,5,2736.9,4,2,2,422,very loyal
71,131.0,1,155.6500000000001,1,1,1,111,lost customer
72,22.0,4,2559.7799999999997,3,1,2,312,potential customer
73,168.0,6,2316.51,1,3,2,132,almost lost customer
74,28.0,3,966.5200000000001,3,1,1,311,late bloomer
75,60.0,8,4979.9400000000005,2,4,4,244,late bloomer
76,1.0,8,2868.16,4,4,3,443,platinum customer
77,101.0,3,1657.5800000000002,1,1,1,111,lost customer
78,211.0,2,82.25999999999999,1,1,1,111,lost customer
79,47.0,5,1860.29,2,2,2,222,losing customer
80,28.0,10,5988.86,3,4,4,344,recent customer
81,4.0,4,3249.02,4,1,3,413,becoming loyal
82,78.0,5,2924.37,2,2,3,223,losing customer
83,80.0,6,1798.1999999999998,2,3,2,232,losing customer
84,28.0,7,2295.2200000000003,3,3,2,332,recent customer
85,37.0,6,563.3699999999999,3,3,1,331,recent customer
86,0.0,9,2360.09,4,4,2,442,platinum customer
87,18.0,9,3740.7599999999998,4,4,3,443,platinum customer
88,74.0,6,2534.3300000000004,2,3,2,232,losing customer
89,4.0,9,5779.65,4,4,4,444,platinum customer
90,30.0,7,2990.73,3,3,3,333,recent customer
91,9.0,8,5242.410000000001,4,4,4,444,platinum customer
92,34.0,3,2967.4399999999996,3,1,3,313,potential customer
93,79.0,3,2976.4099999999994,2,1,3,213,losing customer
94,33.0,7,4902.21,3,3,4,334,recent customer
95,38.0,4,3050.8099999999995,3,1,3,313,potential customer
